food name,calcium (mg),calories (kcal),carbohydrates (g),fats (g),fibre (g),folate (µg),free sugar (g),iron (mg),protein (g),sodium (mg),vitamin c (mg),Category
Green tomato pickle (Haray tamatar ka achaar),14.22,193.26,2.87,19.67,1.74,7.15,0.77,0.77,1.23,159.18,8.21,piece_based
Pickled cabbage ,15.96,13.69,2.56,0.14,0.61,23.56,2.08,0.19,0.39,121.39,16.63,piece_based
Coconut pickle (Nariyal ka aachar),44.78,517.26,11.53,51.71,6.35,5.56,8.98,2.62,3.02,176.54,1.71,piece_based
Potato pickle (Aloo ka achaar),48.46,369.14,7.87,36.46,2.21,8.16,0.82,1.12,2.07,213.73,10.14,piece_based
Mango murabba candy,16.55,293.35,77.32,0.05,0.95,5.7,74.73,0.33,0.27,13.71,19.85,piece_based
Afghani chicken,35.14,151.51,1.95,9.07,0.31,20.52,0.83,1.04,15.66,87.02,3.54,piece_based
Fish orly,9.55,563.7,4.27,58.18,0.33,12.83,0.24,0.31,5.87,136.37,1.35,piece_based
Hariyali Fish Tikka,34.86,150.24,2.21,9.41,0.99,26.78,0.83,0.83,14.01,100.45,11.11,piece_based
Chicken manchurian,26.52,142.34,6.06,11.96,0.41,45.99,0.9,1.28,9.53,2414.77,10.37,piece_based
Handi chicken,26.85,166.02,1.49,12.46,0.67,20.46,0.75,0.93,12.32,75.64,1.47,piece_based
Lemon chicken,17.4,169.79,0.55,9.66,0.16,31.21,0.16,0.95,20.2,79.93,8.94,piece_based
Lemon butter fish,18.66,160.25,0.75,10.26,0.36,19.1,0.23,0.4,16.38,187.72,8.7,piece_based
Baked eggs in tomato sauce,71.94,80.05,3.78,5.22,0.01,317.88,2.03,1.31,4.92,188.21,245.7,piece_based
Egg in a pepper,48.25,128.78,0.17,8.68,0.17,290.24,0.05,1.76,12.64,183.89,33.6,piece_based
Spinach mushroom scrambled egg (Palak mushroom bhurji),140.31,158.85,0.59,11.51,0.39,54.24,0.1,1.6,13.28,227.97,2.27,piece_based
Corn omelette/omlet,96.22,166.93,1.57,12.89,0.02,81.65,0.41,1.34,11.37,166.42,2.9,piece_based
Cajun chicken,156.98,184.94,1.94,13.99,0.89,44.55,1.1,0.53,12.69,1740.13,45.44,piece_based
Paaner do pyaza,57.22,127.7,3.41,10.87,0.84,35.64,2.2,0.45,4.22,160.66,16.81,piece_based
Cabbage manchurian (Pattagobhi manchurian),3.18,224.26,4.85,22.48,0.37,30.24,0.33,0.2,0.64,75.02,28.39,piece_based
Gobi 65,12.37,278.29,3.59,29.11,0.57,37.66,0.29,0.3,0.56,69.22,27.52,piece_based
Paneer lababdar,55.56,105.48,3.37,8.46,1.16,56.6,1.96,0.56,3.98,142.45,27.48,piece_based
Roasted cauliflower steak,24.47,78.68,2.02,6.7,3.53,46.0,0.44,0.95,2.05,120.19,47.14,piece_based
Sauteed radishes with green beans,40.2,94.32,6.04,6.61,3.52,45.89,1.78,1.01,2.41,65.1,6.55,piece_based
Garlic chutney/Poondu chutney (Lahasun ki chutney),63.51,255.51,20.44,17.55,5.15,16.82,13.36,3.26,3.34,177.62,5.7,piece_based
Schezwan chutney,35.46,205.19,10.79,17.72,5.72,159.08,5.66,1.96,3.33,486.27,26.36,piece_based
Onion chutney (Pyaaz ki chutney/Vengaya chutney),28.5,143.94,13.52,8.38,4.6,17.03,6.8,1.19,2.97,256.89,2.83,piece_based
Dates chutney (Khajoor ki chutney),28.72,103.57,21.69,1.12,3.41,17.27,18.68,1.19,1.07,76.77,3.41,piece_based
Chicken salad,43.19,338.19,1.3,30.26,2.0,35.5,0.96,1.23,15.33,50.62,4.92,bowl_based
Macaroni salad,35.7,262.19,21.63,17.78,0.56,34.69,3.73,0.77,5.02,163.99,22.15,bowl_based
Cabbage raita (Pattagobhi raita),118.49,84.84,5.25,5.76,0.93,53.73,4.21,0.19,3.24,125.31,28.29,piece_based
Pomegranate raita (Anaar ka raita),138.31,72.64,7.15,3.24,0.6,23.86,7.01,0.25,4.05,195.18,4.6,piece_based
Onion raita (Pyaaz ka raita),163.8,71.56,7.86,2.43,0.65,32.13,7.07,0.3,4.86,189.96,8.44,piece_based
Green chilli raita (Hari mirch ka raita),193.58,77.13,7.66,2.92,0.26,18.82,7.49,0.21,5.58,161.31,4.3,piece_based
Kale salad,109.11,177.71,5.01,15.33,1.36,35.39,3.31,1.3,4.86,292.04,30.49,bowl_based
Spinach and paneer souffle ,114.32,186.19,9.64,13.49,1.07,133.95,2.81,1.4,7.56,434.68,10.82,piece_based
Masala souffle ,103.68,123.51,8.02,7.37,1.24,363.81,1.84,0.74,6.38,131.14,382.64,piece_based
Chicken and cheese souffle,61.71,182.35,3.47,14.74,0.26,28.77,2.46,0.63,9.07,120.93,2.4,piece_based
Tamarind chutney (Chintapandu pachadi/Puli chutney),40.3,109.15,25.07,0.48,1.65,0.18,22.85,1.95,0.88,75.61,0.03,piece_based
Pav bhaji masala,588.91,230.47,29.15,10.96,24.3,0.21,1.48,12.84,9.13,1814.66,0.06,piece_based
Green chutney,112.74,79.42,10.01,1.6,5.84,15.53,0.92,4.58,5.42,262.81,7.35,piece_based
Sago khitchdi/khichri (Sabudana khitchdi/khichri),15.13,187.16,22.41,10.1,1.82,34.18,1.03,0.86,2.72,100.26,13.41,piece_based
Gram flour chilla/cheela (Besan chilla/cheela),28.38,135.93,21.03,2.85,4.25,34.69,1.87,2.19,7.8,135.57,1.73,piece_based
Vegetable namkeen jave,10.32,112.23,18.98,2.51,2.86,26.26,1.04,1.07,2.93,32.13,12.45,piece_based
Khakhra,21.27,178.5,27.66,5.32,5.43,10.5,0.88,2.14,4.78,184.16,0.56,piece_based
Moong bean dosa (Pesarattu),36.44,285.96,31.91,11.67,6.04,14.32,2.9,3.38,12.32,61.36,1.48,piece_based
Methi thepla,73.51,346.16,41.34,15.95,7.56,15.26,2.98,4.52,8.98,543.27,1.06,piece_based
Rice puttu (Ari puttu),4.96,81.98,11.82,3.13,0.76,4.85,0.33,0.42,1.26,48.28,0.0,bowl_based
Buckwheat pancake (Khura),11.32,263.3,27.28,16.43,0.56,3.38,0.64,0.69,2.91,69.97,0.66,piece_based
Quinoa khichdi/khichri,24.59,64.01,8.83,1.59,2.58,82.57,0.69,1.12,3.18,69.64,9.13,piece_based
Khakhra chaat,24.49,358.66,16.64,30.65,3.04,312.97,3.26,1.26,4.52,102.78,46.67,piece_based
Banana appam,13.74,469.81,20.06,42.53,0.67,13.79,9.95,0.77,1.17,20.14,4.03,piece_based
Veg manchurian,16.79,585.64,6.82,61.65,1.16,26.53,0.76,0.31,0.89,65.31,15.1,piece_based
Pav bhaji,24.86,96.53,11.99,4.32,1.98,170.49,2.06,0.97,2.66,163.89,76.48,piece_based
Rice murukku,24.63,593.99,33.29,48.22,2.18,8.2,0.17,1.7,5.41,63.31,0.0,bowl_based
Bhel puri ,24.22,509.89,16.47,47.91,2.24,157.03,3.41,1.29,3.52,93.98,31.61,piece_based
Semolina dhokla (Suji/Rava dhokla),31.17,194.91,30.86,5.2,5.12,15.26,1.85,2.52,5.44,443.39,3.66,piece_based
Spicy corn chaat ,17.28,479.8,11.45,46.55,2.17,227.37,0.95,0.84,4.61,86.5,14.1,piece_based
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),24.62,597.79,24.0,54.41,1.5,2.47,11.48,1.15,2.34,46.39,0.32,piece_based
Banana chips (Kele ke chips),2.01,665.67,7.32,70.46,0.65,8.97,4.37,0.19,0.37,86.87,4.03,piece_based
Wheat cake,98.91,314.63,41.13,14.95,2.76,7.6,25.79,1.08,4.79,82.96,0.76,piece_based
Mango cheesecake,55.1,152.46,20.06,7.3,1.14,68.68,15.36,0.53,2.39,107.12,24.93,piece_based
Carrot cake (Gajar ka cake),156.1,255.59,35.98,10.27,2.93,17.06,23.96,1.03,5.6,158.74,3.12,piece_based
Semolina cake (Suji/Rava cake),128.28,374.14,31.32,25.18,5.37,9.42,18.86,1.36,6.58,91.36,0.94,piece_based
Finger millet cake (Ragi cake),118.38,279.46,38.93,12.27,2.35,11.41,24.76,1.35,3.96,98.26,0.76,piece_based
Honey cake,50.86,333.59,49.04,14.7,0.51,10.06,33.43,0.46,3.08,72.55,0.53,piece_based
Almond cardamom cake (Badam elaichi cake),81.29,356.35,34.53,21.36,2.35,10.86,18.06,1.29,7.18,155.37,0.37,piece_based
Tutti frutti cake,61.41,347.72,52.94,12.68,0.85,76.45,28.08,0.62,4.49,106.36,1.9,piece_based
Ham and Bean soup,20.52,96.04,4.18,4.15,0.54,103.7,1.43,0.88,10.61,378.14,22.31,katori_based
Whey soup,164.92,68.91,6.26,3.34,0.84,33.72,5.87,0.55,3.45,87.08,2.55,katori_based
Bottle gourd soup (Ghiya/Lauki soup),15.14,23.05,1.16,1.79,0.96,52.73,0.39,0.26,0.45,53.81,6.0,katori_based
Baked potato soup,106.56,147.05,5.85,11.21,0.3,42.67,3.44,0.27,5.73,268.69,18.93,katori_based
Pumpkin soup,12.17,40.05,2.08,3.2,1.19,35.73,1.47,0.19,0.47,45.5,11.5,katori_based
Sweet corn soup,3.72,32.25,3.56,1.63,0.31,50.13,0.9,0.41,0.99,22.35,10.33,katori_based
Paneer soup,82.76,47.85,2.42,2.8,0.28,106.5,1.98,0.3,3.22,68.03,7.59,katori_based
Curried Cauliflower soup,37.25,37.32,3.12,9.77,2.34,53.08,1.79,2.12,6.72,7311.44,51.86,katori_based
Millet soup,65.21,55.99,8.22,12.57,2.82,26.39,1.45,2.74,11.26,10918.83,4.23,katori_based
Lemon coriander soup,102.57,108.06,10.32,6.26,6.77,12.47,2.2,3.47,2.27,219.17,8.6,katori_based
Garlic soup,60.55,194.86,6.99,17.62,1.66,21.85,2.39,0.73,2.38,179.26,11.12,katori_based
Dal makhani,20.62,74.04,7.96,3.06,2.27,75.16,0.8,1.23,3.32,41.85,9.19,katori_based
Dalma,54.28,118.93,15.04,4.58,2.16,137.41,3.1,2.1,4.91,49.35,36.63,katori_based
Split bengal gram dal (Channa dal),21.99,99.67,9.99,4.62,3.72,103.45,0.98,1.92,4.15,46.4,13.38,katori_based
Horsegram dal (Kulthi dal) ,38.22,55.65,8.21,1.13,1.52,86.1,0.72,1.3,2.91,63.63,13.98,katori_based
Panchmel dal,23.05,111.22,10.71,5.36,3.2,79.58,0.75,1.42,4.63,79.46,8.49,katori_based
Dal dhokli,14.54,68.74,8.55,2.47,1.86,45.31,1.12,0.79,2.96,37.53,2.77,katori_based
Gujarati handvo ,68.21,207.09,31.86,4.8,4.95,374.11,2.51,2.03,8.24,308.55,31.39,piece_based
Sev (Omapodi/Karapusa),13.95,609.14,12.87,60.08,2.35,59.29,0.53,0.72,5.12,53.19,0.0,piece_based
Papdi,6.06,708.96,12.89,72.11,0.56,5.01,0.31,0.44,1.83,28.91,0.04,piece_based
Jowar dosa,19.46,294.35,40.53,10.28,5.56,9.63,0.59,2.03,8.5,97.25,0.0,piece_based
Bread roll,44.83,435.46,16.12,40.25,1.45,15.69,0.94,0.71,2.85,139.34,6.79,piece_based
Soya seekh kebab,15.67,115.05,10.0,5.88,2.24,14.38,0.51,1.26,5.4,92.25,8.56,piece_based
Classic seasoned black beans,40.11,28.78,7.66,8.28,3.51,4.61,0.44,1.9,8.01,7989.07,8.54,piece_based
Maa chaane ki dal,68.65,344.67,43.11,9.5,13.45,102.41,1.05,5.97,19.8,43.31,1.43,katori_based
Garlic chickpea soup (Lahasun aur chane ka shoraba),13.93,89.53,13.92,2.01,2.84,380.59,2.65,0.96,4.45,79.73,13.24,katori_based
White sauce (thin),110.2,115.17,6.58,8.41,0.07,,4.58,0.19,3.31,23.91,,piece_based
White sauce (medium),103.53,151.27,7.98,11.76,0.14,,4.32,0.22,3.36,22.59,,piece_based
White sauce (thick),92.74,209.69,10.24,17.19,0.24,,3.9,0.27,3.43,20.45,,piece_based
Cheese sauce,255.14,194.76,7.08,15.12,0.12,,4.53,0.31,7.68,317.38,,piece_based
Egg sauce,89.49,146.85,5.88,11.08,0.12,,3.19,0.65,5.97,51.54,,piece_based
Mushroom sauce,94.1,137.56,7.31,10.51,0.47,,3.86,0.22,3.39,20.94,,piece_based
Mustard sauce,109.03,158.58,8.29,12.17,0.13,,4.22,0.44,3.98,22.16,,piece_based
Brown sauce,40.44,109.18,5.38,23.67,1.69,,0.13,2.46,11.92,14174.59,,piece_based
Classic italian pasta,19.55,42.12,4.4,2.45,1.36,,2.94,0.41,0.57,49.04,,bowl_based
Pasta spinach sauce,58.57,85.46,1.76,7.9,0.86,,1.04,1.23,1.76,115.79,,bowl_based
Pasta cheese sauce,152.68,149.26,9.0,10.84,0.14,,4.22,0.25,4.33,255.95,,bowl_based
Mayonnaise,15.36,774.86,1.65,84.52,0.11,,1.44,0.51,1.86,272.89,,piece_based
Low calorie quick mayonnaise,6.47,242.89,4.71,24.35,0.06,,0.83,0.25,1.41,165.94,,piece_based
Thousand island dressing,9.11,407.87,4.49,42.87,0.46,,3.1,0.45,1.37,946.1,,piece_based
Curd dip,167.17,79.95,7.95,3.36,0.1,,7.12,0.25,5.04,301.07,,piece_based
Short crust pastry,16.9,422.1,44.72,23.98,1.58,,3.18,1.02,6.11,97.2,,piece_based
Choux pastry,19.43,222.37,16.2,14.96,0.56,,1.5,0.83,5.55,132.28,,piece_based
Flaky pastry,9.28,443.94,33.61,31.99,1.25,,0.81,0.83,4.69,178.52,,piece_based
Sponge cake ,30.22,253.77,44.63,4.74,0.69,,26.33,1.47,9.18,64.61,,piece_based
Glace icing,1.95,323.51,86.31,0.01,0.0,,85.35,0.41,0.01,9.88,,piece_based
Royal icing,2.87,332.58,86.53,0.02,0.0,,85.57,0.42,1.74,36.5,,piece_based
American frosting,7.05,257.57,67.48,0.01,0.0,,67.46,0.14,1.05,19.33,,piece_based
Gum icing,18.62,223.07,53.19,0.0,0.0,,52.63,0.4,5.94,29.32,,piece_based
Channa murmura premix,21.36,339.09,72.59,3.28,8.21,,1.52,4.58,10.59,206.28,,piece_based
Cracked wheat and green gram dal premix (Dalia moong dal premix),49.03,362.16,64.75,5.11,11.66,,0.63,4.28,15.89,3.25,,katori_based
Rice flakes and roasted channa ,17.23,333.4,71.94,2.94,8.84,,1.31,4.51,10.57,205.51,,bowl_based
Spinach soup in milk ,106.1,56.72,3.98,3.2,0.79,,3.34,1.08,2.89,31.16,,katori_based
Vegetable soup,18.1,55.21,7.6,1.55,3.01,,1.61,0.63,2.22,170.68,,katori_based
Mashed banana with milk,78.64,95.43,14.62,2.99,0.71,,11.35,0.23,2.51,16.99,,piece_based
Poha with curd (Poha aur dahi),140.9,173.32,26.72,4.65,1.09,,5.46,1.61,6.01,325.07,,piece_based
Potato with curd,85.41,73.18,12.01,1.33,1.02,,3.3,0.38,3.19,190.9,,piece_based
Sweet wheat porridge (Sweet dalia),99.18,140.66,23.77,2.79,2.37,,12.23,1.98,5.11,24.63,,katori_based
Vegetable khichdi/khichri,100.54,143.17,19.57,4.53,2.45,,3.71,1.09,5.61,193.55,,piece_based
Moong dal mixture,70.53,158.84,33.93,1.0,1.9,,24.68,1.25,4.62,29.6,,katori_based
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),123.04,167.45,22.35,5.52,3.74,,3.79,2.17,7.56,224.95,,katori_based
Stewed apple,9.25,91.93,22.49,0.37,1.48,,20.45,0.18,0.17,1.53,,piece_based
Lemon squash (Nimbu ka squash),9.85,184.56,48.88,0.06,0.0,,48.88,0.18,0.15,15.01,,piece_based
Orange squash (Santre ka squash),10.62,193.26,50.88,0.04,0.4,,50.56,0.34,0.22,14.85,,piece_based
Lichi squash,6.39,198.33,51.96,0.08,0.41,,51.31,0.34,0.3,14.56,,piece_based
Mango squash (Aam ka squash),9.47,194.66,50.96,0.17,0.58,,50.84,0.25,0.17,14.81,,piece_based
Pineapple squash (Ananas ka squash),7.96,195.02,51.34,0.05,1.06,,51.08,0.18,0.16,14.84,,piece_based
Lemon and ginger squash (Nimbu aur adrak ka squash),11.18,170.34,44.06,0.21,1.07,,42.53,0.52,0.54,16.19,,piece_based
Apple jam (Seb ka murabba),10.84,188.79,48.56,0.32,1.29,,46.76,0.21,0.14,2.71,,piece_based
Plum jam (Aloo bukhara jam),7.5,178.89,46.2,0.19,1.0,,45.25,0.2,0.31,2.67,,piece_based
Pineapple jam ,10.47,149.18,38.27,0.15,2.2,,37.44,0.24,0.32,2.45,,piece_based
Guava jelly (Amrood ki jelly),16.55,115.74,28.18,0.25,6.61,,27.38,0.29,1.11,3.36,,piece_based
Orange marmalade (Santray ka murabba),17.59,104.17,25.94,0.13,1.97,,25.09,0.63,0.66,2.31,,piece_based
Carrot murabba (Gajar ka murabba),15.86,175.24,45.6,0.16,1.39,,44.83,0.28,0.32,19.53,,piece_based
Gooseberry marmalade (Amla murabba),16.4,123.16,32.34,0.03,0.0,,28.61,0.38,0.14,216.89,,piece_based
Ginger candy (Adrak ki candy),10.43,195.71,50.38,0.27,1.67,,47.99,0.68,0.69,5.4,,piece_based
Mango pickle (Aam ka achaar),48.97,192.12,8.11,17.89,3.68,,1.79,1.44,1.6,3429.94,,piece_based
Mixed vegetable pickle (Sabziyoon ka achaar),42.81,211.2,7.48,19.68,2.76,,2.77,2.12,1.9,2488.32,,piece_based
Sweet lemon pickle (Neembu ka meetha achaar),42.57,69.54,16.87,0.21,2.13,,14.63,1.02,1.22,6415.9,,piece_based
Plum chutney (Aloo bukhara ki chutney),12.38,177.11,44.95,0.29,1.37,,43.9,0.34,0.47,216.81,,piece_based
Raw mango chutney (Kachhe aam/Kairi ki chutney),25.92,193.13,49.94,0.16,2.17,,45.22,0.48,0.51,480.68,,piece_based
Tomato sauce,13.0,34.33,7.23,0.27,1.79,,5.69,0.31,0.81,174.79,,piece_based
Tomato puree,8.91,20.62,3.68,0.25,1.56,,2.32,0.22,0.75,244.99,,piece_based
Garam masala,609.77,254.21,26.2,10.97,35.56,,1.79,14.51,9.89,58.33,,piece_based
Chat masala,519.5,222.58,23.87,9.91,18.62,,0.79,13.27,8.19,11873.64,,piece_based
Kashmiri masala,303.49,389.02,23.16,31.03,12.12,,2.41,14.72,8.26,3106.14,,piece_based
Rasam powder (Rasam masala),562.15,267.96,25.19,11.8,35.71,,1.91,14.72,12.04,38.78,,piece_based
Sambar powder (Sambar masala),439.95,297.46,23.38,15.58,34.56,,1.87,12.63,12.5,27.66,,piece_based
Tartare sauce,21.06,610.93,2.96,66.12,0.42,,2.18,0.56,1.44,256.95,,piece_based
Barbeque sauce,28.61,121.93,20.46,4.51,0.69,,18.88,1.15,0.96,504.95,,piece_based
Bread sauce,110.72,111.04,8.69,7.05,0.56,,4.63,0.31,3.46,88.84,,piece_based
Green chilli sauce,9.89,46.06,7.36,0.27,1.77,,5.36,0.64,1.25,1037.04,,piece_based
Home made plain noodles,12.27,238.78,44.5,3.56,1.65,,1.07,1.07,6.21,182.07,,bowl_based
Dal moong,7.69,43.69,4.92,1.62,1.08,,0.13,0.52,2.2,117.74,,katori_based
Cumin seeds baghar (Jeera baghar/tadka),177.77,736.81,5.22,78.77,6.01,,0.49,5.09,3.34,177.58,,piece_based
Onion tomato baghar (Pyaaz tamatar ka tadka),20.45,137.52,6.17,11.98,2.12,,3.51,0.63,1.26,31.33,,piece_based
Mustard seeds baghar (Mustard seed tadka),182.93,552.59,10.45,54.3,9.74,,1.14,4.14,4.73,8.9,,piece_based
Hot cherry sauce,24.82,252.74,67.95,0.07,0.0,,17.65,0.45,0.13,105.81,,piece_based
Apple jelly (Seb ki jelly),7.89,152.13,39.37,0.21,0.86,,38.18,0.15,0.1,2.14,,piece_based
Marmalade (Murabba),9.84,143.76,37.64,0.04,0.43,,37.29,0.34,0.23,2.16,,piece_based
Plum squash (Aloo bukhara squash),6.9,211.17,55.51,0.1,0.52,,55.02,0.16,0.16,12.71,,piece_based
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),20.05,14.07,2.14,0.24,1.07,,1.0,0.55,0.85,7559.38,,piece_based
Brinjal pickle (Baingan ka achaar),37.28,139.01,4.23,12.98,4.62,,1.07,2.16,2.24,3507.59,,piece_based
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),15.18,60.88,6.55,3.24,2.2,,4.31,0.54,1.26,1281.94,,piece_based
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),54.31,91.21,6.32,6.55,5.08,,3.04,2.32,1.98,2067.33,,piece_based
Tomato chutney (Tamatar ki chutney),25.34,176.07,31.85,6.01,1.49,,30.02,0.96,0.97,823.65,,piece_based
Tomato ketchup,15.33,33.07,6.48,0.3,1.9,,4.68,0.36,0.91,177.97,,piece_based
Bengal 5 Spice Blend (Panch Phoran),523.0,289.79,20.0,22.16,18.4,,1.4,13.37,18.26,51.43,,piece_based
